model,weighted_f1,macro_f1,micro_f1,high_f1,low_f1,medium_f1,fold
xgboost_tuned,0.8720423796620196,0.8127708997170465,0.8767550702028081,0.7349397590361446,0.9250665652339293,0.7783063748810657,4.0
xgboost_tuned,0.8797274738184389,0.8130815767567988,0.8845553822152886,0.7160493827160493,0.9326740205401294,0.790521327014218,5.0
lightgbm_tuned,0.8536329575442064,0.789502267868388,0.853950103950104,0.7,0.9074294795391339,0.7610773240660296,1.0
lightgbm_tuned,0.8738274292516437,0.8180824161506371,0.8726611226611226,0.7395833333333334,0.9200968523002422,0.7945670628183361,2.0
lightgbm_tuned,0.8551973625120382,0.7850056055434895,0.854989604989605,0.6818181818181818,0.9104,0.7627986348122867,3.0
lightgbm_tuned,0.8589355466898566,0.7955029775990403,0.859074362974519,0.7065217391304348,0.9116945107398569,0.7682926829268293,4.0
lightgbm_tuned,0.8719119259263681,0.8182380165283738,0.8725949037961519,0.7486033519553073,0.9205219454329775,0.7855887521968365,5.0
stacked_logistic_top_models,0.8423609621003117,0.7724151915103596,0.840956340956341,0.6785714285714286,0.9036918138041734,0.734982332155477,1.0
stacked_logistic_top_models,0.8597934080677739,0.7866180403439129,0.8575883575883576,0.6808510638297872,0.9186140209508461,0.7603890362511052,2.0
stacked_logistic_top_models,0.8517582503654463,0.7732389199101214,0.8492723492723493,0.6578947368421053,0.9135702746365105,0.7482517482517482,3.0
stacked_logistic_top_models,0.854909171038985,0.7820277384025762,0.8533541341653667,0.6784140969162996,0.914560770156438,0.7531083481349912,4.0
stacked_logistic_top_models,0.8530370358954293,0.7652579744970671,0.8502340093603744,0.6283185840707964,0.9163636363636364,0.7510917030567685,5.0
